date,store_nbr,family,sales,onpromotion,item_count,perishable_share,city,state,type,cluster,transactions,dcoilwtico,holiday,national_holiday,holiday_event_count,national_event_count,year,month,day,day_of_week,week_of_year,day_name,is_weekend,city_code,state_code,store_type_code,day_name_code,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_28,rolling_std_28,predicted_sales
2017-05-18,1,BEVERAGES,2154.0,26,332,0.0,Quito,Pichincha,D,13,1662.0,49.36,0,0,0,0,2017,5,18,3,20,Thursday,0,0,0,0,4,2374.0,1701.0,2454.0,1948.0,2085.8571428571427,595.679284115049,2096.0714285714284,549.4028176520017,2097.3571428571427,618.1577896541082,2068.779063938046
2017-05-19,1,BEVERAGES,2743.0,30,354,0.0,Quito,Pichincha,D,13,1897.0,50.32,0,0,0,0,2017,5,19,4,20,Friday,0,0,0,0,0,2154.0,2472.0,2243.0,2600.0,2150.5714285714284,570.9955800012465,2074.6428571428573,540.1409512828571,2104.714285714286,617.5399136683757,2325.2925985976276
2017-05-20,1,BEVERAGES,2379.0,28,352,0.0,Quito,Pichincha,D,13,1284.0,50.48333333333333,0,0,0,0,2017,5,20,5,20,Saturday,1,0,0,0,2,2743.0,2498.0,2735.0,2785.0,2189.285714285714,604.6182581557105,2110.3571428571427,567.9436059684466,2109.8214285714284,622.3602061430953,2454.4831484616816
2017-05-21,1,BEVERAGES,974.0,23,244,0.0,Quito,Pichincha,D,13,495.0,50.64666666666667,0,0,0,0,2017,5,21,6,20,Sunday,1,0,0,0,3,2379.0,883.0,1019.0,1047.0,2172.285714285714,596.1044970712591,2084.9285714285716,545.345122099579,2095.3214285714284,610.6667305659493,1129.0810747564353
2017-05-22,1,BEVERAGES,2620.0,25,350,0.0,Quito,Pichincha,D,13,1758.0,50.81,0,0,0,0,2017,5,22,0,21,Monday,0,0,0,0,1,974.0,2280.0,2317.0,2419.0,2185.285714285714,563.3961644307186,2081.714285714286,552.2005528333461,2092.714285714286,615.4452683276378,2157.433144462543
2017-05-23,1,BEVERAGES,2365.0,25,333,0.0,Quito,Pichincha,D,13,1701.0,51.12,0,0,0,0,2017,5,23,1,21,Tuesday,0,0,0,0,5,2620.0,2393.0,1943.0,2083.0,2233.8571428571427,587.0807521319502,2103.3571428571427,567.8478408250513,2099.8928571428573,620.5431515294104,2208.403221641795
2017-05-24,1,BEVERAGES,2611.0,26,341,0.0,Quito,Pichincha,D,13,1844.0,50.99,0,0,0,0,2017,5,24,2,21,Wednesday,0,0,0,0,6,2365.0,2374.0,2033.0,2608.0,2229.8571428571427,585.9099557017983,2133.5,569.8776859318843,2109.964285714286,622.5440327810737,2253.369217160793
2017-05-25,1,BEVERAGES,2229.0,27,339,0.0,Quito,Pichincha,D,13,1663.0,48.57,0,0,0,0,2017,5,25,3,21,Thursday,0,0,0,0,4,2611.0,2154.0,1701.0,2022.0,2263.714285714286,602.2473783769519,2174.785714285714,582.8266899769202,2110.0714285714284,622.6331735324328,2069.9150941980065
2017-05-26,1,BEVERAGES,1100.0,21,221,0.0,Quito,Pichincha,D,13,580.0,49.58,1,1,1,1,2017,5,26,4,21,Friday,0,0,0,0,0,2229.0,2743.0,2472.0,2235.0,2274.4285714285716,600.6351796620189,2212.5,566.6693174900313,2117.464285714286,622.7776181272185,1370.4672588368626
2017-05-27,1,BEVERAGES,2270.0,30,335,0.0,Quito,Pichincha,D,13,1116.0,49.5925,0,0,0,0,2017,5,27,5,21,Saturday,1,0,0,0,2,1100.0,2379.0,2498.0,2156.0,2039.7142857142858,699.8408662655005,2114.5,633.0842391389605,2076.9285714285716,651.1361539688077,1928.2506356713452
